Trtmt,Camt,Namt,Pamt,Sample,Timepoint,Replicate,soilweight,Bottleheadspace_mL,ppm_CO2,Time_min,umol_CO2_L_air,umol_CO2_ml_air,umol_CO2,mg_CO2,mg_CO2_C,mg_CO2_C_gsoil,ug_CO2_C_gsoil,ugCO2C_gsoil_min,T24hr_CO2_sum,T24hr_ppm_min,T48hr_CO2_sum,T48hr_ppm_min,total_ppm_min,extP,ubialP,extC,extN,ubialC,ubialN,ubial C_N
dry,no_C,no_N,no_P,136,T1,1,24.79,233.7973856,383.0972,395,15.63662041,0.01563662,3.655800971,0.160891801,0.04390617,0.001771124,1.77112423,0.004483859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,137,T1,2,24.79,233.7973856,350.5128,394,14.3066449,0.014306645,3.344856174,0.14720712,0.040171723,0.001620481,1.620480946,0.004112896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,138,T1,3,25.1,233.5947712,577.1768,394,23.55823673,0.023558237,5.503080921,0.242190591,0.066092002,0.002633147,2.633147484,0.006683115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,139,T1,4,24.62,233.9084967,371.5088,398,15.16362449,0.015163624,3.546900609,0.156099096,0.042598276,0.001730231,1.730230557,0.004347313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,140,T1,5,24.62,233.9084967,306.4908,399,12.50982857,0.012509829,2.926155196,0.12878009,0.035143124,0.001427422,1.427421767,0.003577498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,136,T2,1,24.79,233.7973856,340.8848,667,13.91366531,0.013913665,3.196525467,0.140679086,0.038390271,0.001238396,1.238395834,0.001856665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,137,T2,2,24.79,233.7973856,287.9568,667,11.75333878,0.011753339,2.70021205,0.118836332,0.032429547,0.001046114,1.04611441,0.001568387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,138,T2,3,25.1,233.5947712,359.816,666,14.68636735,0.014686367,3.374046034,0.148491766,0.040522293,0.001307171,1.307170738,0.001962719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,139,T2,4,24.62,233.9084967,364.744,665,14.8875102,0.01488751,3.420256594,0.150525493,0.041077282,0.001325074,1.325073603,0.001992592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,140,T2,5,24.62,233.9084967,341.9344,664,13.95650612,0.013956506,3.206367717,0.141112243,0.038508476,0.001242209,1.242208912,0.001870797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,136,T3,1,24.79,233.7973856,266.248,344,10.86726531,0.010867265,2.496645531,0.10987737,0.029984713,0.000967249,0.967248801,0.00281177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,137,T3,2,24.79,233.7973856,339.2208,344,13.84574694,0.013845747,3.180921902,0.139992373,0.038202872,0.001232351,1.232350711,0.003582415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,138,T3,3,25.1,233.5947712,373.1408,343,15.23023673,0.015230237,3.498994587,0.153990752,0.042022925,0.001355578,1.355578226,0.003952123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,139,T3,4,24.62,233.9084967,232.52,344,9.490612245,0.009490612,2.180373257,0.095958227,0.026186283,0.000844719,0.844718801,0.002455578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,140,T3,5,24.62,233.9084967,239.7904,343,9.787363265,0.009787363,2.248548837,0.098958634,0.027005072,0.000871131,0.87113134,0.002539742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,136,T4,1,24.79,233.7973856,251.7712,411,10.27637551,0.010276376,2.36089451,0.103902967,0.028354343,0.000914656,0.914656228,0.002225441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,137,T4,2,24.79,233.7973856,206.7536,412,8.438922449,0.008438922,1.938758043,0.085324741,0.023284484,0.000751112,0.75111239,0.001823088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,138,T4,3,25.1,233.5947712,230.5488,410,9.410155102,0.009410155,2.161889033,0.095144736,0.025964287,0.000837558,0.837557654,0.002042824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,139,T4,4,24.62,233.9084967,214.9968,411,8.775379592,0.00877538,2.016055707,0.088726612,0.024212829,0.000781059,0.781059001,0.001900387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dry,no_C,no_N,no_P,140,T4,5,24.62,233.9084967,245.256,410,10.01044898,0.010010449,2.299800549,0.101214222,0.027620605,0.000890987,0.890987245,0.00217314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
